CMDLINE /home/lf/miniconda3/envs/maddpg/bin/python rdqn_train.py
MEM 1.250000 1721469248.2613
MEM 183.695312 1721469248.3615
MEM 221.507812 1721469248.4618
MEM 286.039062 1721469248.5620
MEM 310.378906 1721469248.6623
MEM 324.128906 1721469248.7625
MEM 356.628906 1721469248.8627
MEM 485.593750 1721469248.9629
MEM 571.308594 1721469249.0631
MEM 585.214844 1721469249.1632
MEM 638.808594 1721469249.2634
MEM 734.277344 1721469249.3636
MEM 734.277344 1721469249.4637
MEM 734.277344 1721469249.5638
MEM 734.277344 1721469249.6640
MEM 734.277344 1721469249.7642
MEM 734.433594 1721469249.8644
MEM 734.433594 1721469249.9645
MEM 734.433594 1721469250.0647
MEM 734.433594 1721469250.1648
MEM 734.433594 1721469250.2650
MEM 734.433594 1721469250.3652
MEM 734.433594 1721469250.4653
MEM 734.433594 1721469250.5655
MEM 734.433594 1721469250.6657
MEM 734.433594 1721469250.7659
MEM 734.433594 1721469250.8661
MEM 734.433594 1721469250.9662
MEM 734.589844 1721469251.0664
MEM 734.589844 1721469251.1666
MEM 734.589844 1721469251.2668
MEM 734.589844 1721469251.3669
MEM 734.589844 1721469251.4671
MEM 734.589844 1721469251.5673
MEM 734.589844 1721469251.6676
MEM 734.589844 1721469251.7678
MEM 734.589844 1721469251.8680
MEM 734.589844 1721469251.9683
MEM 734.589844 1721469252.0684
MEM 734.589844 1721469252.1687
MEM 734.589844 1721469252.2689
MEM 734.589844 1721469252.3691
MEM 734.589844 1721469252.4694
MEM 734.746094 1721469252.5695
MEM 734.746094 1721469252.6697
MEM 734.746094 1721469252.7700
MEM 734.746094 1721469252.8702
MEM 734.746094 1721469252.9704
MEM 734.746094 1721469253.0706
MEM 734.746094 1721469253.1708
MEM 734.746094 1721469253.2710
MEM 734.746094 1721469253.3713
MEM 734.746094 1721469253.4714
MEM 734.746094 1721469253.5716
MEM 734.746094 1721469253.6718
MEM 734.746094 1721469253.7720
MEM 734.902344 1721469253.8722
MEM 734.902344 1721469253.9724
MEM 734.902344 1721469254.0727
MEM 734.902344 1721469254.1729
MEM 734.902344 1721469254.2731
MEM 734.902344 1721469254.3733
MEM 734.902344 1721469254.4735
MEM 734.902344 1721469254.5737
MEM 734.902344 1721469254.6739
MEM 734.902344 1721469254.7741
MEM 734.902344 1721469254.8743
MEM 734.902344 1721469254.9745
MEM 735.058594 1721469255.0747
MEM 735.058594 1721469255.1749
MEM 735.058594 1721469255.2752
MEM 735.058594 1721469255.3754
MEM 735.058594 1721469255.4756
MEM 735.058594 1721469255.5758
MEM 735.058594 1721469255.6761
MEM 735.058594 1721469255.7763
MEM 735.058594 1721469255.8765
MEM 735.058594 1721469255.9768
MEM 735.058594 1721469256.0770
MEM 735.058594 1721469256.1772
MEM 735.058594 1721469256.2775
MEM 735.058594 1721469256.3777
MEM 735.058594 1721469256.4779
MEM 735.214844 1721469256.5781
MEM 735.214844 1721469256.6784
MEM 735.214844 1721469256.7786
MEM 735.214844 1721469256.8788
MEM 735.214844 1721469256.9790
MEM 735.214844 1721469257.0792
MEM 735.214844 1721469257.1794
MEM 735.214844 1721469257.2796
MEM 735.214844 1721469257.3799
MEM 768.964844 1721469257.4802
MEM 835.839844 1721469257.5804
MEM 835.839844 1721469257.6806
MEM 835.839844 1721469257.7809
MEM 836.152344 1721469257.8811
MEM 836.152344 1721469257.9813
MEM 836.152344 1721469258.0815
MEM 836.152344 1721469258.1817
MEM 836.152344 1721469258.2819
MEM 836.152344 1721469258.3821
MEM 837.871094 1721469258.4823
MEM 837.871094 1721469258.5825
MEM 837.871094 1721469258.6827
MEM 837.871094 1721469258.7829
MEM 837.871094 1721469258.8830
MEM 837.871094 1721469258.9832
MEM 837.871094 1721469259.0834
MEM 837.871094 1721469259.1836
MEM 837.871094 1721469259.2838
MEM 837.871094 1721469259.3840
MEM 837.871094 1721469259.4842
MEM 837.871094 1721469259.5844
MEM 837.871094 1721469259.6845
MEM 837.871094 1721469259.7847
MEM 837.871094 1721469259.8849
MEM 837.871094 1721469259.9851
MEM 837.871094 1721469260.0853
MEM 837.871094 1721469260.1855
MEM 837.871094 1721469260.2857
MEM 837.871094 1721469260.3859
MEM 837.871094 1721469260.4861
MEM 837.871094 1721469260.5862
MEM 837.871094 1721469260.6865
MEM 837.871094 1721469260.7867
MEM 837.871094 1721469260.8869
MEM 837.871094 1721469260.9872
MEM 837.871094 1721469261.0873
MEM 837.871094 1721469261.1876
MEM 837.871094 1721469261.2878
MEM 837.871094 1721469261.3881
MEM 837.871094 1721469261.4883
MEM 837.871094 1721469261.5886
MEM 837.871094 1721469261.6888
MEM 837.871094 1721469261.7891
MEM 837.871094 1721469261.8893
MEM 837.871094 1721469261.9895
MEM 837.871094 1721469262.0898
MEM 837.871094 1721469262.1900
MEM 837.871094 1721469262.2903
MEM 837.871094 1721469262.3905
MEM 838.027344 1721469262.4908
MEM 838.183594 1721469262.5910
MEM 838.183594 1721469262.6912
MEM 838.183594 1721469262.7915
MEM 838.183594 1721469262.8917
MEM 838.183594 1721469262.9920
MEM 838.183594 1721469263.0922
MEM 838.183594 1721469263.1924
MEM 838.183594 1721469263.2927
MEM 838.183594 1721469263.3929
MEM 838.183594 1721469263.4932
MEM 838.183594 1721469263.5935
MEM 838.339844 1721469263.6937
MEM 838.339844 1721469263.7939
MEM 838.496094 1721469263.8942
MEM 838.496094 1721469263.9944
MEM 838.496094 1721469264.0947
MEM 838.496094 1721469264.1949
MEM 838.496094 1721469264.2952
MEM 838.496094 1721469264.3954
MEM 838.496094 1721469264.4956
MEM 838.496094 1721469264.5959
MEM 838.496094 1721469264.6961
MEM 838.496094 1721469264.7964
MEM 838.496094 1721469264.8966
MEM 838.496094 1721469264.9968
MEM 838.496094 1721469265.0971
MEM 838.496094 1721469265.1973
MEM 838.652344 1721469265.2975
MEM 838.652344 1721469265.3977
MEM 838.652344 1721469265.4980
MEM 838.652344 1721469265.5981
MEM 838.652344 1721469265.6983
MEM 838.652344 1721469265.7985
MEM 838.652344 1721469265.8987
MEM 838.652344 1721469265.9989
MEM 838.652344 1721469266.0991
MEM 838.652344 1721469266.1993
MEM 838.652344 1721469266.2995
MEM 838.652344 1721469266.3996
MEM 838.652344 1721469266.4998
MEM 838.808594 1721469266.6000
MEM 838.808594 1721469266.7002
MEM 838.808594 1721469266.8004
MEM 838.808594 1721469266.9006
MEM 838.808594 1721469267.0008
MEM 838.964844 1721469267.1010
MEM 838.964844 1721469267.2011
MEM 838.964844 1721469267.3013
MEM 838.964844 1721469267.4015
MEM 838.964844 1721469267.5017
MEM 838.964844 1721469267.6019
MEM 838.964844 1721469267.7021
MEM 839.121094 1721469267.8023
MEM 839.121094 1721469267.9025
MEM 839.121094 1721469268.0026
MEM 839.121094 1721469268.1028
MEM 839.121094 1721469268.2031
MEM 839.121094 1721469268.3032
MEM 839.121094 1721469268.4034
MEM 839.277344 1721469268.5036
MEM 839.433594 1721469268.6038
MEM 839.589844 1721469268.7040
MEM 839.589844 1721469268.8042
MEM 839.589844 1721469268.9045
MEM 839.589844 1721469269.0047
MEM 839.589844 1721469269.1049
MEM 839.589844 1721469269.2052
MEM 839.589844 1721469269.3054
MEM 839.589844 1721469269.4056
MEM 839.589844 1721469269.5058
MEM 839.589844 1721469269.6060
MEM 839.589844 1721469269.7063
MEM 839.589844 1721469269.8065
MEM 839.589844 1721469269.9067
MEM 839.589844 1721469270.0069
MEM 840.214844 1721469270.1072
MEM 840.214844 1721469270.2074
MEM 840.214844 1721469270.3076
MEM 840.371094 1721469270.4078
MEM 840.371094 1721469270.5079
MEM 840.371094 1721469270.6081
MEM 840.371094 1721469270.7083
MEM 840.371094 1721469270.8085
MEM 840.371094 1721469270.9087
MEM 840.371094 1721469271.0089
MEM 840.371094 1721469271.1091
MEM 840.371094 1721469271.2093
MEM 840.527344 1721469271.3095
MEM 840.839844 1721469271.4097
MEM 840.839844 1721469271.5099
MEM 841.152344 1721469271.6101
MEM 841.152344 1721469271.7102
MEM 841.152344 1721469271.8104
MEM 841.152344 1721469271.9106
MEM 841.152344 1721469272.0108
MEM 841.152344 1721469272.1110
MEM 841.152344 1721469272.2112
MEM 841.152344 1721469272.3114
MEM 841.152344 1721469272.4116
MEM 841.152344 1721469272.5117
MEM 841.464844 1721469272.6119
MEM 841.464844 1721469272.7121
MEM 841.464844 1721469272.8123
MEM 841.464844 1721469272.9125
MEM 841.464844 1721469273.0127
MEM 841.464844 1721469273.1129
MEM 842.089844 1721469273.2130
MEM 842.089844 1721469273.3132
MEM 842.089844 1721469273.4134
MEM 842.246094 1721469273.5136
MEM 842.246094 1721469273.6138
MEM 842.246094 1721469273.7140
MEM 842.246094 1721469273.8142
MEM 842.246094 1721469273.9144
MEM 842.246094 1721469274.0146
MEM 842.246094 1721469274.1148
MEM 842.246094 1721469274.2149
MEM 842.246094 1721469274.3151
MEM 842.714844 1721469274.4153
MEM 843.183594 1721469274.5155
MEM 843.183594 1721469274.6157
MEM 843.183594 1721469274.7159
MEM 843.183594 1721469274.8161
MEM 843.183594 1721469274.9163
MEM 843.183594 1721469275.0165
MEM 843.339844 1721469275.1167
MEM 843.339844 1721469275.2169
MEM 843.339844 1721469275.3170
MEM 843.339844 1721469275.4172
MEM 843.496094 1721469275.5174
MEM 843.496094 1721469275.6176
MEM 843.496094 1721469275.7178
MEM 843.496094 1721469275.8180
MEM 843.652344 1721469275.9182
MEM 843.652344 1721469276.0184
